srcWikiID,srcWikiTitle,dstWikiID,dstWikiTitle,HumanRelatedness
13919,Hezbollah,17771,Lebanon,8
648807,Rofecoxib,30874304,Merck_&_Co.,7
21721,New_York_Jets,12512423,West_Side_(Manhattan),4
27718,Super_Bowl,23339,Philadelphia_Eagles,7
3414021,George_W._Bush,4723094,Nouri_al-Maliki,4
5043192,Hillary_Clinton,534366,Barack_Obama,8
166163,John_Edwards,74456,Joe_Lieberman,7
418359,Hideki_Matsui,4848143,New_York_Yankees,9
103064,David_Wells,4848143,New_York_Yankees,9
5043544,Democratic_Party_(United_States),5122699,John_Kerry,8
5122699,John_Kerry,32611,Vietnam_War,7
7515928,Iraq,8087628,Egypt,6
689,Asia,5405,China,8
7515928,Iraq,57580,Basra,8
19468510,United_States_House_of_Representatives,5043544,Democratic_Party_(United_States),8
4848143,New_York_Yankees,11278,Miami_Marlins,8
19468510,United_States_House_of_Representatives,24909346,United_States_Senate,9
23805,Pope_John_Paul_II,606848,Catholic_Church,9
32817,Vladimir_Putin,9787373,Government_of_Russia,9
26961,Shia_Islam,351058,Muqtada_al-Sadr,7
6984,Colin_Powell,3434750,United_States,7
38828,Michael_Bloomberg,45579,Queens,3
6037917,Islam,21208200,Western_world,2
26961,Shia_Islam,6037917,Islam,8
45645094,World_Trade_Center_(1973–2001),455646,Lower_Manhattan,8
22199,Ohio,3414021,George_W._Bush,2
5183633,Central_Intelligence_Agency,7515928,Iraq,6
5405,China,31756,United_States_Congress,2
14653,Iran,14984,International_Atomic_Energy_Agency,4
3434750,United_States,19541,Muslim,2
160128,Bill_Frist,3414021,George_W._Bush,5
17068,Kurds,29402,Sunni_Islam,6
80777,Kurdistan,2185,Arabs,6
21719,New_England_Patriots,23339,Philadelphia_Eagles,8
28416,San_Francisco_Giants,23339,Philadelphia_Eagles,4
38828,Michael_Bloomberg,204334,George_Pataki,5
29402,Sunni_Islam,80777,Kurdistan,6
21721,New_York_Jets,28416,San_Francisco_Giants,4
467003,Fallujah,29402,Sunni_Islam,6
3434750,United_States,351058,Muqtada_al-Sadr,3
75129,Madison_Square_Garden,509001,Republican_National_Convention,4
32070,Republican_Party_(United_States),555678,Capitol_Hill,2
31769,United_Nations,9239,Europe,7
204334,George_Pataki,1641707,New_Jersey_Senate,2
98573,Gray_Davis,32070,Republican_Party_(United_States),6
58353,Medicare_(United_States),24909346,United_States_Senate,3
32070,Republican_Party_(United_States),31737,Supreme_Court_of_the_United_States,5
5043544,Democratic_Party_(United_States),179553,Southern_United_States,6
241405,State_of_Palestine,9239,Europe,5
31717,United_Kingdom,29490,Saddam_Hussein,3
9282173,Israel,848569,Ehud_Olmert,7
21378255,Eliot_Spitzer,8210131,New_York,7
24909346,United_States_Senate,33057,White_House,8
32087,United_States_Army,4492,Baghdad,6
25391,Russia,5843419,France,7
29490,Saddam_Hussein,80777,Kurdistan,5
2944,Ariel_Sharon,25955086,Jews,7
204334,George_Pataki,425922,California_State_Legislature,2
2759511,Richard_Parsons_(businessman),83045,Time_Warner,9
19001,Microsoft,3747,Bill_Gates,9
72855,New_York_Knicks,647814,Keith_Van_Horn,6
648835,Bill_Belichick,21719,New_England_Patriots,8
31769,United_Nations,17391,Kosovo,5
27421,Sudan,5488,Chad,7
55387,Gaza_City,12047,Gaza_Strip,8
72871,Detroit_Pistons,72852,Brooklyn_Nets,8
384273,Metropolitan_Transportation_Authority_(New_York),301410,Metro-North_Railroad,9
72852,Brooklyn_Nets,72850,Miami_Heat,8
285318,Ibrahim_al-Jaafari,26961,Shia_Islam,7
31737,Supreme_Court_of_the_United_States,735496,United_States_Senate_Committee_on_the_Judiciary,7
8484783,Abu_Musab_al-Zarqawi,1921,Al-Qaeda,8
23235,Pakistan,452160,Abdul_Qadeer_Khan,7
21134,New_Hampshire,166163,John_Edwards,4
15043,International_Space_Station,28237,Space_Shuttle_Columbia,8
72852,Brooklyn_Nets,21648,New_Jersey,7
645042,New_York_City,302201,Midtown_Manhattan,7
14579,Indonesia,19541,Muslim,6
31717,United_Kingdom,698,Atlantic_Ocean,5
26091,Rupert_Murdoch,11121,Fox_News_Channel,8
218947,Derek_Jeter,212472,Alex_Rodriguez,8
5058628,Dick_Cheney,9910441,Scooter_Libby,7
39764,Jacques_Chirac,23306893,Gerhard_Schröder,8
240940,LeBron_James,72868,Cleveland_Cavaliers,9
1131780,Alberto_Gonzales,735496,United_States_Senate_Committee_on_the_Judiciary,6
5937384,Kenneth_Lay,477665,Jeffrey_Skilling,8
5489,Chile,18933396,Augusto_Pinochet,9
53842,New_Orleans,83180,United_States_Army_Corps_of_Engineers,7
8687,Detroit,12102,General_Motors,7
2185,Arabs,1921,Al-Qaeda,4
2185,Arabs,21208200,Western_world,2
2176142,2012_Summer_Olympics,12512423,West_Side_(Manhattan),2
15573,Japan,18603746,Beijing,3
1641707,New_Jersey_Senate,476068,California_State_Assembly,5
5334607,Africa,689,Asia,7
14653,Iran,1921,Al-Qaeda,5
164662,Dominique_de_Villepin,5843419,France,7
645042,New_York_City,1341761,Cablevision,6
335077,Jon_Corzine,44421,Legislature,6
2569378,Hurricane_Katrina,31756,United_States_Congress,6
31756,United_States_Congress,1131780,Alberto_Gonzales,5
414302,Kurt_Warner,28416,San_Francisco_Giants,4
232595,Mahmoud_Abbas,2944,Ariel_Sharon,7
47384,Brooklyn,25391,Russia,2
37653,CBS,20556738,Nielsen_Media_Research,6
55097,U.S._Securities_and_Exchange_Commission,52563,United_States_Department_of_Justice,7
5843419,France,21208200,Western_world,7
5069516,HIV/AIDS,5334607,Africa,6
55387,Gaza_City,2944,Ariel_Sharon,5
8210131,New_York,425922,California_State_Legislature,3
899286,Consolidated_Edison,45579,Queens,4
241405,State_of_Palestine,848569,Ehud_Olmert,7
12512423,West_Side_(Manhattan),1341761,Cablevision,4
4582,Bud_Selig,38776,Major_League_Baseball,8
14539,Internet,188213,Yahoo!,7
73124,Tampa_Bay_Lightning,66968,Stanley_Cup,7
13913,Hamas,6037917,Islam,7
37653,CBS,102538,Dan_Rather,7
694313,Bob_Menendez,442286,Thomas_Kean,7
52563,United_States_Department_of_Justice,16476,John_Ashcroft,7
37398,The_Walt_Disney_Company,78969,Pixar,8
37139,Long_Island_Rail_Road,301410,Metro-North_Railroad,8
47384,Brooklyn,626242,"Flatbush,_Brooklyn",7
233369,Nablus,33209,West_Bank,8
31717,United_Kingdom,21148,Netherlands,7
166163,John_Edwards,166702,Al_Sharpton,8
218947,Derek_Jeter,287250,George_Steinbrenner,7
339841,Tom_Brady,27718,Super_Bowl,8
4339,Boston_Red_Sox,6654,Chicago_Cubs,8
5119376,John_F._Kennedy,54533,Lyndon_B._Johnson,9
108956,"Washington,_D.C.",216169,Tom_DeLay,6
269191,Scott_McClellan,33057,White_House,7
21378255,Eliot_Spitzer,38828,Michael_Bloomberg,6
645042,New_York_City,899286,Consolidated_Edison,7
17867,London,541267,Sotheby's,7
5405,China,8569916,English_language,2
1658148,"North_Fork,_Suffolk_County,_New_York",18315,Long_Island,8
648845,Valdecoxib,648807,Rofecoxib,9
21728,New_York_Mets,26074,Roger_Clemens,5
21721,New_York_Jets,453710,Santana_Moss,6
50549,Diocese,606848,Catholic_Church,8
203872,Mitsubishi_Motors,15573,Japan,7
18337522,Christian,5211,Christianity,9
5042916,Canada,717,Alberta,8
197983,Romano_Prodi,14532,Italy,8
5334607,Africa,18524,Latin_America,6
21139,North_America,15573,Japan,6
689,Asia,18524,Latin_America,6
606848,Catholic_Church,18337522,Christian,9
5043192,Hillary_Clinton,43715,John_McCain,7
29490,Saddam_Hussein,8629,Donald_Rumsfeld,5
6882,Chrysler,30984,Toyota,8
359551,CBS_News,37988,National_Guard_of_the_United_States,2
31737,Supreme_Court_of_the_United_States,89514,"New_London,_Connecticut",3
9282173,Israel,6984,Colin_Powell,3
14653,Iran,171776,Mohamed_ElBaradei,3
394985,Rafic_Hariri,17771,Lebanon,8
33873,World_Trade_Organization,9239,Europe,6
468102,Democratic_National_Convention,5122699,John_Kerry,4
1095706,Jesus,44219,Mel_Gibson,6
21378255,Eliot_Spitzer,425922,California_State_Legislature,4
62304,Pfizer,11632,Food_and_Drug_Administration,6
52563,United_States_Department_of_Justice,154864,PeopleSoft,5
202354,Vietnam,33583,World_Health_Organization,1
8687,Detroit,30984,Toyota,1
476068,California_State_Assembly,21648,New_Jersey,2
21139,North_America,30984,Toyota,5
5049103,Howard_Dean,166702,Al_Sharpton,4
241458,Charles_Taylor_(Liberian_politician),67393,West_Africa,6
154864,PeopleSoft,172395,Larry_Ellison,4
26090,Richard_Myers,195322,Joint_Chiefs_of_Staff,8
445726,Eric_Lindros,69713,Rangers_F.C.,2
18337522,Christian,5042765,God,8
